"[  -13.  +54.j     3.  +56.j    26.  +50.j ... -1114.+1641.j  -767.+1938.j
  -327.+2142.j]","{'avmu_ip': '192.168.1.219', 'tx_port': 0, 'tx_port_s': 'AVMU_TX_PATH_0', 'rx_port': 1, 'rx_port_s': 'AVMU_RX_PATH_1', 'timestamp_ticks': 0, 'timestamp_seconds': 0.0, 'sweep_number': 5556, 'shaft_encoder_left': 0, 'shaft_encoder_right': 0, 'serial_data_age': 0, 'serial_data_bytes': b''}"
"[  -14.  +53.j     4.  +59.j    25.  +47.j ... -1114.+1637.j  -766.+1938.j
  -325.+2157.j]","{'avmu_ip': '192.168.1.219', 'tx_port': 0, 'tx_port_s': 'AVMU_TX_PATH_0', 'rx_port': 1, 'rx_port_s': 'AVMU_RX_PATH_1', 'timestamp_ticks': 0, 'timestamp_seconds': 0.0, 'sweep_number': 5557, 'shaft_encoder_left': 0, 'shaft_encoder_right': 0, 'serial_data_age': 0, 'serial_data_bytes': b''}"
"[  -13.  +54.j     5.  +58.j    26.  +49.j ... -1115.+1642.j  -765.+1939.j
  -327.+2157.j]","{'avmu_ip': '192.168.1.219', 'tx_port': 0, 'tx_port_s': 'AVMU_TX_PATH_0', 'rx_port': 1, 'rx_port_s': 'AVMU_RX_PATH_1', 'timestamp_ticks': 0, 'timestamp_seconds': 0.0, 'sweep_number': 5558, 'shaft_encoder_left': 0, 'shaft_encoder_right': 0, 'serial_data_age': 0, 'serial_data_bytes': b''}"
"[  -13.  +57.j     4.  +55.j    27.  +49.j ... -1111.+1644.j  -766.+1944.j
  -324.+2164.j]","{'avmu_ip': '192.168.1.219', 'tx_port': 0, 'tx_port_s': 'AVMU_TX_PATH_0', 'rx_port': 1, 'rx_port_s': 'AVMU_RX_PATH_1', 'timestamp_ticks': 0, 'timestamp_seconds': 0.0, 'sweep_number': 5559, 'shaft_encoder_left': 0, 'shaft_encoder_right': 0, 'serial_data_age': 0, 'serial_data_bytes': b''}"
"[  -13.  +55.j     9.  +56.j    25.  +49.j ... -1116.+1644.j  -764.+1942.j
  -324.+2166.j]","{'avmu_ip': '192.168.1.219', 'tx_port': 0, 'tx_port_s': 'AVMU_TX_PATH_0', 'rx_port': 1, 'rx_port_s': 'AVMU_RX_PATH_1', 'timestamp_ticks': 0, 'timestamp_seconds': 0.0, 'sweep_number': 5560, 'shaft_encoder_left': 0, 'shaft_encoder_right': 0, 'serial_data_age': 0, 'serial_data_bytes': b''}"
"[  -15.  +52.j     2.  +58.j    29.  +50.j ... -1111.+1642.j  -764.+1945.j
  -320.+2171.j]","{'avmu_ip': '192.168.1.219', 'tx_port': 0, 'tx_port_s': 'AVMU_TX_PATH_0', 'rx_port': 1, 'rx_port_s': 'AVMU_RX_PATH_1', 'timestamp_ticks': 0, 'timestamp_seconds': 0.0, 'sweep_number': 5561, 'shaft_encoder_left': 0, 'shaft_encoder_right': 0, 'serial_data_age': 0, 'serial_data_bytes': b''}"
"[  -15.  +54.j     6.  +56.j    29.  +48.j ... -1112.+1642.j  -769.+1942.j
  -324.+2168.j]","{'avmu_ip': '192.168.1.219', 'tx_port': 0, 'tx_port_s': 'AVMU_TX_PATH_0', 'rx_port': 1, 'rx_port_s': 'AVMU_RX_PATH_1', 'timestamp_ticks': 0, 'timestamp_seconds': 0.0, 'sweep_number': 5562, 'shaft_encoder_left': 0, 'shaft_encoder_right': 0, 'serial_data_age': 0, 'serial_data_bytes': b''}"
"[  -13.  +55.j     6.  +56.j    27.  +48.j ... -1110.+1634.j  -773.+1944.j
  -326.+2173.j]","{'avmu_ip': '192.168.1.219', 'tx_port': 0, 'tx_port_s': 'AVMU_TX_PATH_0', 'rx_port': 1, 'rx_port_s': 'AVMU_RX_PATH_1', 'timestamp_ticks': 0, 'timestamp_seconds': 0.0, 'sweep_number': 5563, 'shaft_encoder_left': 0, 'shaft_encoder_right': 0, 'serial_data_age': 0, 'serial_data_bytes': b''}"
"[  -14.  +53.j     4.  +57.j    32.  +48.j ... -1107.+1641.j  -772.+1945.j
  -331.+2181.j]","{'avmu_ip': '192.168.1.219', 'tx_port': 0, 'tx_port_s': 'AVMU_TX_PATH_0', 'rx_port': 1, 'rx_port_s': 'AVMU_RX_PATH_1', 'timestamp_ticks': 0, 'timestamp_seconds': 0.0, 'sweep_number': 5564, 'shaft_encoder_left': 0, 'shaft_encoder_right': 0, 'serial_data_age': 0, 'serial_data_bytes': b''}"
"[  -14.  +57.j     3.  +53.j    29.  +51.j ... -1117.+1641.j  -775.+1950.j
  -327.+2179.j]","{'avmu_ip': '192.168.1.219', 'tx_port': 0, 'tx_port_s': 'AVMU_TX_PATH_0', 'rx_port': 1, 'rx_port_s': 'AVMU_RX_PATH_1', 'timestamp_ticks': 0, 'timestamp_seconds': 0.0, 'sweep_number': 5565, 'shaft_encoder_left': 0, 'shaft_encoder_right': 0, 'serial_data_age': 0, 'serial_data_bytes': b''}"
"[  -14.  +52.j     5.  +55.j    27.  +44.j ... -1113.+1640.j  -773.+1950.j
  -329.+2188.j]","{'avmu_ip': '192.168.1.219', 'tx_port': 0, 'tx_port_s': 'AVMU_TX_PATH_0', 'rx_port': 1, 'rx_port_s': 'AVMU_RX_PATH_1', 'timestamp_ticks': 0, 'timestamp_seconds': 0.0, 'sweep_number': 5566, 'shaft_encoder_left': 0, 'shaft_encoder_right': 0, 'serial_data_age': 0, 'serial_data_bytes': b''}"
"[  -15.  +55.j     4.  +55.j    25.  +49.j ... -1115.+1643.j  -772.+1952.j
  -331.+2181.j]","{'avmu_ip': '192.168.1.219', 'tx_port': 0, 'tx_port_s': 'AVMU_TX_PATH_0', 'rx_port': 1, 'rx_port_s': 'AVMU_RX_PATH_1', 'timestamp_ticks': 0, 'timestamp_seconds': 0.0, 'sweep_number': 5567, 'shaft_encoder_left': 0, 'shaft_encoder_right': 0, 'serial_data_age': 0, 'serial_data_bytes': b''}"
